Country,Currency,Code
Andorra,euro,EUR
Austria,euro,EUR
Belgium,euro,EUR
Croatia,euro,EUR
Cyprus,euro,EUR
Estonia,euro,EUR
Finland,euro,EUR
France,euro,EUR
Germany,euro,EUR
Greece,euro,EUR
Ireland,euro,EUR
Italy,euro,EUR
Latvia,euro,EUR
Lithuania,euro,EUR
Luxembourg,euro,EUR
Malta,euro,EUR
Monaco,euro,EUR
Montenegro,euro,EUR
Netherlands,euro,EUR
Portugal,euro,EUR
San Marino,euro,EUR
Slovakia,euro,EUR
Slovenia,euro,EUR
Spain,euro,EUR
Vatican City,euro,EUR
